p,Π,,,,,,,,
0,4.54E-05,,,,,,,,
0.0101,5.56E-05,,,,,,,,
0.0202,6.80E-05,,,,,,,,
0.0303,8.32E-05,,,,,,,,
0.0404,1.02E-04,,,,,,,,
0.05051,1.25E-04,,,,,,,,
0.06061,1.53E-04,,,,,,,,
0.07071,1.87E-04,,,,,,,,
0.08081,2.28E-04,,,,,,,,
0.09091,2.80E-04,,,,,,,,
0.10101,3.42E-04,,,,,,,,
0.11111,4.19E-04,,,,,,,,
0.12121,5.12E-04,,,,,,,,
0.13131,6.27E-04,,,,,,,,
0.14141,7.67E-04,,,,,,,,
0.15152,9.39E-04,,,,,,,,
0.16162,0.00115,,,,,,,,
0.17172,0.00141,,,,,,,,
0.18182,0.00172,,,,,,,,
0.19192,0.0021,,,,,,,,
0.20202,0.00257,,,,,,,,
0.21212,0.00315,,,,,,,,
0.22222,0.00385,,,,,,,,
0.23232,0.00471,,,,,,,,
0.24242,0.00576,,,,,,,,
0.25253,7.04E-03,,,,,,,,
0.26263,8.60E-03,,,,,,,,
0.27273,1.05E-02,,,,,,,,
0.28283,1.28E-02,,,,,,,,
0.29293,1.57E-02,,,,,,,,
0.30303,1.91E-02,,,,,,,,
0.31313,2.33E-02,,,,,,,,
0.32323,2.83E-02,,,,,,,,
0.33333,3.45E-02,,,,,,,,
0.34343,4.18E-02,,,,,,,,
0.35354,0.05072,,,,,,,,
0.36364,6.14E-02,,,,,,,,
0.37374,0.07411,,,,,,,,
0.38384,0.08922,,,,,,,,
0.39394,0.10705,,,,,,,,
0.40404,0.12795,,,,,,,,
0.41414,0.15224,,,,,,,,
0.42424,0.18018,,,,,,,,
0.43434,0.21196,,,,,,,,
0.44444,0.24766,,,,,,,,
0.45455,0.28719,,,,,,,,
0.46465,0.33025,,,,,,,,
0.47475,0.37635,,,,,,,,
0.48485,0.42482,,,,,,,,
0.49495,0.47477,,,,,,,,
0.50505,0.52523,,,,,,,,
0.51515,0.57518,,,,,,,,
0.52525,0.62365,,,,,,,,
0.53535,0.66975,,,,,,,,
0.54545,0.71281,,,,,,,,
0.55556,0.75234,,,,,,,,
0.56566,0.78804,,,,,,,,
0.57576,0.81982,,,,,,,,
0.58586,0.84776,,,,,,,,
0.59596,0.87205,,,,,,,,
0.60606,0.89295,,,,,,,,
0.61616,0.91078,,,,,,,,
0.62626,0.92589,,,,,,,,
0.63636,0.93862,,,,,,,,
0.64646,0.94928,,,,,,,,
0.65657,0.95817,,,,,,,,
0.66667,0.96555,,,,,,,,
0.67677,0.97168,,,,,,,,
0.68687,0.97674,,,,,,,,
0.69697,0.98091,,,,,,,,
0.70707,0.98435,,,,,,,,
0.71717,0.98717,,,,,,,,
0.72727,0.9895,,,,,,,,
0.73737,0.9914,,,,,,,,
0.74747,0.99296,,,,,,,,
0.75758,0.99424,,,,,,,,
0.76768,0.99529,,,,,,,,
0.77778,0.99615,,,,,,,,
0.78788,0.99685,,,,,,,,
0.79798,0.99743,,,,,,,,
0.80808,0.9979,,,,,,,,
0.81818,0.99828,,,,,,,,
0.82828,0.99859,,,,,,,,
0.83838,0.99885,,,,,,,,
0.84848,0.99906,,,,,,,,
0.85859,0.99923,,,,,,,,
0.86869,0.99937,,,,,,,,
0.87879,0.99949,,,,,,,,
0.88889,0.99958,,,,,,,,
0.89899,0.99966,,,,,,,,
0.90909,0.99972,,,,,,,,
0.91919,0.99977,,,,,,,,
0.92929,0.99981,,,,,,,,
0.93939,0.99985,,,,,,,,
0.94949,0.99988,,,,,,,,
0.9596,0.9999,,,,,,,,
0.9697,0.99992,,,,,,,,
0.9798,0.99993,,,,,,,,
0.9899,0.99994,,,,,,,,
1,0.99995,,,,,,,,
